,name,category,address,star,comment,naver_services,station,out,meter,lines,walking_time
0,스테이크 슈퍼,"스테이크,립",서울 마포구 독막로7길 62 1층 스테이크 슈퍼,4.92,,"네이버예약,네이버톡톡",합정역,3번,490.0,"2호선,6호선",6.0
1,육지,"육류,고기요리",서울 마포구 독막로3길 34,4.77,,,합정역,3번,301.0,"2호선,6호선",4.0
2,바다회사랑2호점,생선회,서울 마포구 동교로 143,4.3,싱싱한 방어 먹으러 홍대 횟집,,홍대입구역,1번,535.0,"2호선,공항철도,경의중앙선",7.0
3,스페이스원 버거,햄버거,서울 마포구 와우산로21길 20-10 1층 스페이스원 수제버거,,,"네이버페이,네이버주문",홍대입구역,9번,479.0,"2호선,공항철도,경의중앙선",6.0
4,앤티크커피 연남점,"카페,디저트",서울 마포구 연희로 25-1 1층 앤티크커피,,,,홍대입구역,3번,384.0,"2호선,공항철도,경의중앙선",5.0
5,수택,"카페,디저트",서울 마포구 양화로7길 4-13 1층,,,,합정역,2번,109.0,"2호선,6호선",1.0
6,티엔미미 홍대점,중식당,서울 마포구 양화로 144 4층(L),,,,홍대입구역,9번,93.0,"2호선,공항철도,경의중앙선",1.0
7,우와,일식당,서울 마포구 와우산로21길 21-16 2층,4.45,,,홍대입구역,9번,628.0,"2호선,공항철도,경의중앙선",8.0
8,야키토리 나루토,"일식튀김,꼬치",서울 마포구 독막로9길 26 지1층 야키토리 나루토,4.89,오마카세 59초 안에 먹는 야키토리 맛집,네이버예약,상수역,1번,443.0,6호선,6.0
9,연남취향,양식,서울 마포구 연희로1길 36,,,,홍대입구역,3번,320.0,"2호선,공항철도,경의중앙선",4.0
10,우동 카덴,"우동,소바",서울 마포구 양화로7안길 2-1,4.24,맛있는 정호영 쉐프가 운영하는 합정역 우동,,합정역,2번,128.0,"2호선,6호선",2.0
11,오퍼 카페,"카페,디저트",서울 마포구 홍익로5길 19 오퍼베이커리카페,,,,홍대입구역,9번,306.0,"2호선,공항철도,경의중앙선",4.0
12,츠케루,일본식라면,서울 마포구 와우산로23길 9 1층 102호,4.63,일본보다 츠케멘 맛있는 라멘집,,홍대입구역,9번,338.0,"2호선,공항철도,경의중앙선",4.0
13,피오니,케이크전문,서울 마포구 독막로7길 51,4.43,홍대 딸기생크림 케이크 하면 생각나는 곳,,합정역,3번,452.0,"2호선,6호선",6.0
14,옥동식,국밥,서울 마포구 양화로7길 44-10,4.44,,,합정역,2번,304.0,"2호선,6호선",4.0
15,트라이브 홍대점,"카페,디저트",서울 마포구 어울마당로 100-12 지1층,,,,홍대입구역,9번,385.0,"2호선,공항철도,경의중앙선",5.0
16,산더미불고기,"육류,고기요리",서울 마포구 어울마당로 47,4.67,홍대 산처럼 쌓인 불고기 맛집,"네이버예약,배달,네이버톡톡",상수역,1번,370.0,6호선,5.0
17,쿠시노주방,이자카야,서울 마포구 동교로 218-1 지하1층 쿠시노주방,4.4,,,홍대입구역,3번,239.0,"2호선,공항철도,경의중앙선",3.0
18,스아게,카레,서울 마포구 와우산로29라길 7 1층,4.61,,,홍대입구역,7번,227.0,"2호선,공항철도,경의중앙선",3.0
19,아벨롭,카페,서울 마포구 양화로15안길 6 Avelop,,,,홍대입구역,1번,468.0,"2호선,공항철도,경의중앙선",6.0
20,청록양식,"스파게티,파스타전문",서울 마포구 동교로 220-7 1층 청록양식,4.76,,네이버예약,홍대입구역,3번,172.0,"2호선,공항철도,경의중앙선",2.0
21,로쏘 1924 나폴리 화덕피자 홍대점,피자,서울 마포구 홍익로 29 1층 로쏘 1924 나폴리 화덕피자,4.68,공수한 재료로 만든 홍대화덕피자 홍대피자,"네이버페이,네이버예약,네이버주문,배달,네이버톡톡,쿠폰",홍대입구역,9번,203.0,"2호선,공항철도,경의중앙선",3.0
22,사쿠라테이엔 합정점,이자카야,서울 마포구 독막로7길 27 1층,4.85,,"네이버예약,네이버톡톡",상수역,1번,535.0,6호선,7.0
23,빌리프커피로스터스,"카페,디저트",서울 마포구 양화로11길 50 1층,4.4,무한도전 빅뱅촬영카페 분위기 좋고 커피,배달,합정역,2번,237.0,"2호선,6호선",3.0
24,육몽 홍대본점,"육류,고기요리",서울 마포구 양화로16길 19 1-3층,4.73,,"네이버예약,네이버톡톡",홍대입구역,9번,470.0,"2호선,공항철도,경의중앙선",6.0
25,졸리연남,"스파게티,파스타전문",서울 마포구 연희로1길 52 가동 101호 졸리연남,4.48,,"네이버예약,네이버톡톡",홍대입구역,3번,397.0,"2호선,공항철도,경의중앙선",5.0
26,커먼독 연남본점,양식,서울 마포구 연희로1길 40-3 1층,,,"네이버페이,네이버주문,네이버톡톡",홍대입구역,3번,366.0,"2호선,공항철도,경의중앙선",5.0
27,피자네버슬립스,피자,서울 마포구 양화로6길 73 4층 피자네버슬립스,4.57,,,합정역,6번,424.0,"2호선,6호선",5.0
28,아오이토리,베이커리,서울 마포구 와우산로29길 8 K.C빌딩,4.45,야끼소바빵과 명란바게트가 맛있는 내사랑 홍대 빵집,,홍대입구역,7번,374.0,"2호선,공항철도,경의중앙선",5.0
29,금별맥주 홍대직영점,"맥주,호프","서울 마포구 독막로7길 63 ,1층",4.5,홍대 펍 금별맥주 가성비 좋은 합정역 술집,,합정역,3번,500.0,"2호선,6호선",6.0
30,광야,이탈리아음식,서울 마포구 월드컵북로4길 82 1층 광야,4.58,,"네이버예약,네이버톡톡",홍대입구역,2번,321.0,"2호선,공항철도,경의중앙선",4.0
31,카페 공명 연남점,"카페,디저트",서울 마포구 연희로 11 1층 카페 공명,4.5,,네이버페이,홍대입구역,3번,231.0,"2호선,공항철도,경의중앙선",3.0
32,하이디라오 홍대점,중식당,서울 마포구 양화로 176 동교동 와이즈파크 5층,4.61,,네이버예약,홍대입구역,8번,80.0,"2호선,공항철도,경의중앙선",1.0
33,합정공감,이자카야,서울 마포구 양화로6길 49 2F,,,,합정역,6번,305.0,"2호선,6호선",4.0
34,홍대씨부엉,떡볶이,서울 마포구 와우산로21길 28-6,4.51,,네이버톡톡,홍대입구역,9번,578.0,"2호선,공항철도,경의중앙선",7.0
35,라헬의부엌 홍대점,"카페,디저트","서울 마포구 와우산로29길 47 1,2층",4.5,,,홍대입구역,7번,219.0,"2호선,공항철도,경의중앙선",3.0
36,스케줄합정,양식,서울 마포구 양화로6길 33 1층,4.39,,,합정역,5번,183.0,"2호선,6호선",2.0
37,카와카츠 본점,돈가스,서울 마포구 동교로 126 1층 102호,,,,합정역,2번,614.0,"2호선,6호선",8.0
38,동두천솥뚜껑삼겹살 합정점,돼지고기구이,서울 마포구 양화로6길 39 1층,,,,합정역,6번,247.0,"2호선,6호선",3.0
